learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
200.0,0.484375,0.0,200.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
400.0,0.578125,0.0,400.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
600.0,0.671875,0.0,600.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
800.0,0.765625,0.0,800.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1000.0,0.84375,0.0,1000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1200.0,0.9375,0.0,1200.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1400.0,1.078125,0.0,1400.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1600.0,1.46875,0.0,1600.0,0.0,95.85,0.6258327785172871,95.85,0.6258327785172871,-730.0,125.16655570345725,94.07142857142858,0.894046826453262
1800.0,1.609375,0.0,1800.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2000.0,1.6875,0.0,2000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2200.0,1.78125,0.0,2200.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2400.0,1.875,0.0,2400.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2600.0,1.953125,0.0,2600.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2800.0,2.046875,0.0,2800.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
3000.0,2.484375,0.0,3000.0,0.0,90.15,0.6258327785172848,90.15,0.6258327785172848,-1869.9999999999977,125.1665557034571,90.15,0.6258327785172848
3200.0,2.671875,0.0,3200.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
3400.0,2.78125,0.0,3400.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
3600.0,2.890625,0.0,3600.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
3800.0,2.96875,0.0,3800.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
4000.0,3.046875,0.0,4000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
4200.0,3.125,0.0,4200.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
4400.0,3.40625,0.0,4400.0,0.0,95.75,0.4859126579037736,95.75,0.4859126579037736,-750.0,97.182531580755,95.75,0.4859126579037736
4600.0,3.703125,0.0,4600.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
4800.0,3.859375,0.0,4800.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
5000.0,4.03125,0.0,5000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
5200.0,4.1875,0.0,5200.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
5400.0,4.265625,0.0,5400.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
5600.0,4.390625,0.0,5600.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
5800.0,4.59375,0.0,5800.0,0.0,95.60000000000001,0.7378647873726214,95.60000000000001,0.7378647873726214,-780.0,147.57295747452437,95.60000000000001,0.7378647873726214
6000.0,5.078125,0.0,6000.0,0.0,92.85,1.8566696588844833,92.85,1.8566696588844833,0.0,0.0,92.85,1.8566696588844833
6200.0,5.203125,0.0,6200.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
6400.0,5.296875,0.0,6400.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
6600.0,5.390625,0.0,6600.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
