# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [ARF] AdaptiveRandomForest(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01))
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=100000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='py_ARF_results.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARF],current_acc_[ARF],mean_kappa_[ARF],current_kappa_[ARF]
200,1.000000,1.000000,1.000000,1.000000
399,1.000000,1.000000,1.000000,1.000000
599,1.000000,1.000000,1.000000,1.000000
799,1.000000,1.000000,1.000000,1.000000
999,1.000000,1.000000,1.000000,1.000000
1199,1.000000,1.000000,1.000000,1.000000
1399,1.000000,1.000000,1.000000,1.000000
1599,0.995714,0.970000,0.975728,0.930556
1799,0.996250,1.000000,0.988723,1.000000
1999,0.996667,1.000000,0.992038,1.000000
2199,0.997000,1.000000,0.993554,1.000000
2399,0.997273,1.000000,0.994423,1.000000
2599,0.997500,1.000000,0.994986,1.000000
2799,0.997692,1.000000,0.995381,1.000000
2999,0.993214,0.935000,0.987188,0.870000
3199,0.993667,1.000000,0.989112,1.000000
3399,0.994062,1.000000,0.990376,1.000000
3599,0.994412,1.000000,0.991271,1.000000
3799,0.994722,1.000000,0.991937,1.000000
3999,0.995000,1.000000,0.992452,1.000000
4199,0.995250,1.000000,0.992863,1.000000
4399,0.990238,0.890000,0.985496,0.707447
4599,0.990455,0.995000,0.986343,0.000000
4799,0.990870,1.000000,0.987283,1.000000
4999,0.991250,1.000000,0.988038,1.000000
5199,0.991600,1.000000,0.988657,1.000000
5399,0.991923,1.000000,0.989174,1.000000
5599,0.992222,1.000000,0.989613,1.000000
5799,0.989107,0.905000,0.985479,0.086538
5999,0.985862,0.895000,0.981520,0.000000
6199,0.986333,1.000000,0.982413,1.000000
6399,0.986774,1.000000,0.983174,1.000000
6599,0.987187,1.000000,0.983830,1.000000
6799,0.987576,1.000000,0.984401,1.000000
6999,0.987941,1.000000,0.984903,1.000000
7199,0.988286,1.000000,0.985348,1.000000
7399,0.987361,0.955000,0.984368,0.791667
7599,0.987703,1.000000,0.984944,1.000000
7799,0.988026,1.000000,0.985451,1.000000
