# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [HT] HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=None, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [HAT] HAT(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluateHoldout(batch_size=100, dynamic_test_set=False, max_samples=100000, max_time=6000, metrics=['precision', 'recall', 'f1'], n_wait=100, output_file='HAT_houldout.csv', restart_stream=True, show_plot=False, test_size=2023)
# TEST CONFIGURATION END
id,mean_precision_[HT],current_precision_[HT],mean_precision_[HAT],current_precision_[HAT],mean_recall_[HT],current_recall_[HT],mean_recall_[HAT],current_recall_[HAT],mean_f1_[HT],current_f1_[HT],mean_f1_[HAT],current_f1_[HAT]
2123,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.978947,0.978947,1.000000,1.000000,0.989362,0.989362
2223,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.949239,0.921569,1.000000,1.000000,0.973958,0.959184
2323,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.945017,0.936170,1.000000,1.000000,0.971731,0.967033
2423,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.936061,0.910000,1.000000,1.000000,0.966975,0.952880
2523,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.939457,0.954545,1.000000,1.000000,0.968784,0.976744
2623,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.940141,0.943820,1.000000,1.000000,0.969147,0.971098
2723,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.940367,0.941860,1.000000,1.000000,0.969267,0.970060
2823,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.941892,0.953488,1.000000,1.000000,0.970077,0.976190
2923,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.942029,0.943182,1.000000,1.000000,0.970149,0.970760
3023,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.940217,0.923913,1.000000,1.000000,0.969188,0.960452
3123,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.939842,0.936170,1.000000,1.000000,0.968988,0.967033
3223,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.938739,0.927083,1.000000,1.000000,0.968401,0.962162
3323,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.939620,0.949495,1.000000,1.000000,0.968870,0.974093
3423,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.939464,0.937500,1.000000,1.000000,0.968787,0.967742
3523,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.938659,0.927835,1.000000,1.000000,0.968359,0.962567
3623,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.938748,0.940000,1.000000,1.000000,0.968407,0.969072
3723,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.938903,0.941176,1.000000,1.000000,0.968489,0.969697
