# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [HAT] HAT(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=100, data_points_for_classification=False, max_samples=100000, max_time=inf, metrics=['precision', 'recall', 'f1'], n_wait=100, output_file='HAT_prequential.csv', pretrain_size=100, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_precision_[HAT],current_precision_[HAT],mean_recall_[HAT],current_recall_[HAT],mean_f1_[HAT],current_f1_[HAT]
100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
300,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
600,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
700,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1300,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1600,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1700,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2300,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2600,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2700,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3300,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3600,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3700,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4300,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4600,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4700,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5300,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5600,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5700,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6300,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6600,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6700,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7300,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7600,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7700,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8300,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8600,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8700,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9300,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9600,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9700,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10300,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10600,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10700,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
11100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11300,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11600,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11700,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
